Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Location,Speed_limit,Light_Conditions,Weather_Conditions,Urban_or_Rural_Area
44,3,2,1,3,505,40,1,1,1
31,3,2,1,3,346,30,4,2,1
16,3,2,1,3,228,30,4,1,1
14,3,2,1,3,215,30,4,9,1
33,3,2,1,3,361,60,6,2,2
13,3,2,1,3,204,30,4,8,1
20,3,2,1,4,305,30,4,2,1
14,3,2,1,4,213,70,7,2,2
4,3,2,1,4,83,30,4,2,1
1,3,1,1,4,1,30,1,1,1
43,3,1,1,4,483,50,1,1,2
20,3,1,1,4,303,30,1,5,1
13,3,1,1,4,204,20,1,1,1
13,3,2,2,4,204,30,1,1,1
5,3,4,3,4,95,30,1,4,1
13,3,2,1,4,203,30,1,1,1
20,2,2,2,4,302,30,4,1,1
40,3,2,1,4,424,60,4,1,2
50,3,2,2,4,596,60,4,2,2
1,2,1,1,4,20,30,4,1,1
97,3,2,1,4,935,30,4,1,1
44,3,1,1,5,501,60,6,1,2
47,3,4,2,5,556,60,1,1,2
12,3,2,1,5,182,60,1,1,2
35,3,3,1,5,390,60,1,2,1
1,3,2,1,5,10,30,1,1,1
32,3,1,1,5,353,60,1,1,2
1,3,2,1,5,11,30,1,1,1
50,3,2,1,5,596,30,1,2,1
1,3,2,1,5,27,30,1,1,1
46,3,2,1,5,542,40,1,1,1
61,3,2,3,5,734,30,4,1,1
43,3,1,1,5,472,30,4,1,1
41,3,2,1,5,437,30,4,1,1
14,3,2,3,5,211,70,6,1,2
1,3,1,1,6,30,30,4,2,1
35,3,2,1,6,392,30,1,4,1
6,2,1,1,6,112,30,1,1,1
7,2,1,1,6,130,30,1,1,2
1,3,2,1,6,29,30,1,1,1
40,3,2,1,6,424,20,1,1,1
46,2,2,2,6,533,50,1,1,2
4,3,4,2,6,74,50,1,1,2
37,3,2,1,6,414,30,1,8,1
62,3,2,2,6,746,40,1,1,2
92,2,1,1,6,911,30,4,2,2
53,3,5,4,6,624,70,6,2,2
5,2,1,1,6,92,30,4,2,1
42,2,2,1,6,455,30,4,1,1
1,3,2,1,6,25,30,4,8,1
1,3,2,1,6,27,30,4,1,1
3,3,3,1,7,65,30,4,1,1
93,3,2,1,7,918,40,1,1,1
50,3,2,2,7,587,40,1,5,2
7,3,3,1,7,130,30,1,2,1
47,3,3,3,7,562,50,1,1,2
10,3,1,1,7,147,20,1,1,1
10,3,2,1,7,147,30,1,2,1
94,2,1,2,7,925,30,4,1,1
22,3,1,1,7,270,30,4,2,1
41,3,2,2,7,438,30,4,5,1
95,2,2,1,7,923,30,4,2,1
23,3,2,1,7,292,30,4,5,1
41,3,1,1,7,438,70,6,5,2
3,2,2,4,7,60,60,6,8,2
17,2,1,1,1,245,50,4,1,2
36,3,1,1,1,400,60,1,1,2
23,3,1,3,1,290,50,1,1,2
12,3,2,1,1,186,30,1,1,2
1,3,2,1,1,17,30,1,1,1
10,3,2,1,1,150,30,1,1,1
97,3,2,1,1,932,30,4,2,1
1,3,1,1,1,9,30,4,1,1
3,3,1,1,1,62,30,4,5,1
42,3,2,2,1,454,70,6,2,2
44,3,1,1,2,500,30,4,1,1
31,3,2,1,2,345,40,1,1,2
4,3,1,1,2,85,30,1,1,1
93,3,1,1,2,934,60,1,1,2
16,3,2,1,2,232,50,1,1,2
6,3,1,1,2,102,30,1,5,1
3,3,2,1,2,62,30,1,1,1
54,3,1,1,2,633,30,1,1,1
10,3,1,1,2,146,30,1,1,1
1,3,1,1,2,17,30,4,2,1
13,3,1,1,2,203,30,4,2,1
7,2,1,1,2,129,50,6,1,2
10,3,1,1,3,147,30,4,1,1
4,3,2,1,3,73,70,1,1,2
1,3,4,1,3,32,70,1,1,2
22,2,2,1,3,286,30,1,1,2
45,3,2,1,3,518,30,1,1,1
48,3,1,1,3,570,30,1,1,1
52,3,2,1,3,601,30,1,1,1
55,2,2,1,3,645,60,1,1,2
44,3,3,1,3,505,40,1,1,2
1,3,2,1,3,5,30,1,1,1
53,3,1,1,3,620,30,1,1,1
30,3,2,2,3,321,30,1,1,1
44,3,2,1,3,502,30,4,1,1
12,3,2,2,3,189,60,6,1,2
4,3,2,1,3,79,30,4,1,1
45,3,2,1,3,510,30,4,2,1
50,3,1,1,4,583,30,1,1,1
1,3,2,1,4,23,30,1,1,1
42,3,2,1,4,463,30,1,1,2
6,3,2,2,4,104,30,1,1,1
40,3,2,1,4,424,30,1,1,1
47,3,1,1,4,565,30,1,1,1
33,3,2,1,4,364,30,1,1,1
47,3,1,1,4,565,20,1,1,1
20,3,2,1,4,305,30,1,1,1
1,3,2,1,4,31,30,4,1,1
45,3,2,1,4,513,30,4,1,1
45,3,1,1,4,511,40,4,1,1
34,2,2,2,4,385,60,4,1,2
13,3,1,1,4,206,40,4,1,2
1,3,2,1,5,10,30,4,1,1
20,3,2,2,5,300,30,1,1,1
41,2,3,1,5,33,70,1,1,1
23,2,4,2,5,292,30,1,1,2
43,3,1,1,5,471,60,1,1,2
30,3,2,1,5,321,30,1,1,1
22,3,1,1,5,278,30,1,1,1
37,3,2,1,5,412,30,1,1,1
10,3,1,1,5,150,30,1,1,1
13,3,2,1,5,206,30,1,1,1
44,3,2,1,5,502,30,1,1,1
13,2,4,2,5,206,60,1,1,2
6,3,2,1,5,106,30,4,1,1
30,3,3,1,5,320,30,4,1,2
1,3,2,1,5,11,30,4,1,1
6,2,2,4,5,106,30,4,1,1
42,3,2,1,6,457,40,1,1,1
36,3,2,1,6,404,30,1,1,1
1,3,2,1,6,26,30,1,1,1
20,2,3,2,6,307,30,1,1,1
20,3,1,1,6,300,30,1,1,1
97,2,2,2,6,926,30,1,1,1
31,3,1,1,6,343,30,1,1,1
20,3,1,1,6,309,30,1,4,1
11,3,2,1,6,169,40,1,1,1
10,3,2,1,6,149,30,1,1,1
42,2,2,1,6,462,70,4,1,2
14,3,1,1,6,210,60,6,1,2
1,3,3,1,6,32,70,4,1,2
33,3,2,1,6,361,30,4,8,1
13,3,2,1,6,204,30,4,1,1
1,2,2,1,7,26,40,4,1,1
60,3,1,1,7,720,50,1,1,2
20,3,2,1,7,300,30,1,1,1
1,3,2,1,7,11,30,1,2,1
41,3,5,2,7,437,40,1,1,1
46,3,3,1,7,544,30,1,2,1
10,3,1,1,7,139,60,1,3,2
1,3,3,2,7,1,30,4,1,1
1,3,3,1,7,13,30,4,2,1
36,3,1,1,7,404,60,4,9,2
20,3,2,1,7,305,30,4,9,1
23,3,3,1,7,294,30,4,1,1
16,3,1,1,1,232,30,4,1,1
23,3,2,1,1,291,50,1,1,2
5,2,2,1,1,91,30,1,1,1
97,3,3,3,1,920,30,1,1,1
34,3,2,1,1,384,30,1,1,1
6,3,1,1,1,100,30,7,1,1
63,3,2,1,1,751,30,4,1,2
44,3,2,1,2,498,20,4,1,1
55,2,1,1,2,642,60,6,1,2
50,3,1,1,2,580,60,1,1,2
46,3,2,4,2,542,30,1,1,1
97,3,3,1,2,919,60,1,1,2
30,2,2,1,2,324,30,1,1,1
40,3,2,1,2,424,30,1,1,1
13,2,1,1,2,204,30,1,1,1
21,3,2,1,2,255,60,1,1,1
5,3,2,1,2,91,40,1,1,1
22,3,2,1,2,286,30,1,1,1
46,3,1,1,2,530,60,7,1,2
45,3,1,1,2,517,30,4,1,1
1,3,2,1,2,6,30,4,1,1
1,3,2,1,2,4,20,4,1,1
23,3,2,1,3,290,30,1,1,2
1,3,2,1,3,21,30,1,1,1
52,3,2,1,3,601,20,1,1,1
40,3,2,1,3,424,60,1,1,2
43,3,1,1,3,474,70,1,1,2
1,3,2,1,3,2,30,1,1,1
52,3,2,1,3,612,30,1,1,1
44,3,1,1,3,500,30,1,1,1
1,3,1,1,3,12,30,1,1,1
13,3,2,1,3,204,30,1,1,1
41,3,2,1,3,437,30,4,1,1
16,3,2,1,3,232,30,4,1,1
4,3,2,1,3,76,30,4,1,1
95,3,1,1,3,921,60,6,4,2
13,3,2,1,3,200,30,4,1,1
34,3,1,1,4,386,60,1,1,2
31,3,2,1,4,346,30,1,2,1
32,3,2,1,4,356,60,1,2,2
14,3,1,1,4,215,30,1,2,1
94,3,2,1,4,925,20,1,1,1
46,3,2,2,4,539,60,1,1,2
34,3,1,1,4,386,30,1,1,1
97,2,1,2,4,916,30,1,9,1
5,3,2,4,4,95,30,1,1,1
41,3,2,1,4,433,30,4,1,1
14,3,2,1,4,215,30,4,2,1
1,3,1,1,4,1,30,4,2,1
1,3,1,1,4,2,30,4,2,1
1,3,2,1,4,30,30,7,1,1
21,3,2,1,5,256,30,4,1,2
43,3,2,1,5,481,50,1,1,2
32,3,2,3,5,353,60,1,1,2
50,3,4,2,5,582,40,1,1,2
4,3,2,1,5,76,30,1,1,1
43,3,2,1,5,481,30,1,1,1
32,3,2,3,5,354,40,1,1,2
1,3,3,1,5,9,30,1,1,1
1,3,2,1,5,1,30,1,1,1
1,3,4,1,5,11,30,1,1,1
40,3,2,1,5,421,30,4,1,1
37,3,2,1,5,415,30,7,1,1
13,3,2,2,5,200,30,4,1,1
5,3,1,1,5,91,20,4,1,1
33,3,1,1,5,361,60,7,1,2
1,3,1,1,6,30,30,4,1,2
1,3,2,1,6,19,30,1,1,1
14,3,2,1,6,215,30,1,1,1
5,3,2,6,6,91,30,1,1,1
36,3,2,2,6,401,50,1,1,2
46,3,2,1,6,533,40,1,1,1
43,3,2,1,6,480,30,1,1,1
53,3,2,1,6,622,30,1,2,2
1,3,1,1,6,26,30,1,1,1
63,3,2,1,6,753,60,1,2,2
40,3,2,1,6,424,30,4,1,1
52,3,3,1,6,601,30,4,2,1
36,3,1,2,6,402,60,6,9,2
1,3,2,1,6,4,20,4,1,1
62,3,1,1,6,741,30,4,2,1
13,3,2,2,6,200,30,4,5,1
36,1,1,1,7,406,60,1,1,2
42,3,2,2,7,461,60,1,1,2
21,3,1,1,7,253,70,1,2,2
22,3,1,1,7,286,30,1,1,1
47,3,1,1,7,554,40,1,1,1
1,3,2,2,7,32,30,1,1,1
31,3,1,1,7,346,30,4,2,1
50,3,1,1,7,580,50,6,1,2
20,3,1,1,7,300,30,4,8,1
